Keyword,Frequency
Sensitivity analysis,1
Software industry,1
algorithmic probing,1
content moderation,1
Google autocomplete,1
search engine results,1
Stereotypes,1
Deep web,1
filter bubble,1
information politics,1
Internet censorship,1
Licensing (technology),1
Generative artificial intelligence,1
Intervention,1
Search engine studies,1
"Sociology (excluding Social Work, Social Psychology and Social Anthropology)",1
Bibliometrics. Scientometrics,1
Bibliometrics. Scientometrics. Evaluation,1
Citation analysis,1
"Computer Science, Interdisciplinary Applications",1
Exact sciences and technology,1
Google Scholar,1
Information and communication sciences,1
Information science. Documentation,1
Library and information science. General aspects,1
Sciences and techniques of general use,1
Web of science,1
Antitrust,1
Fox News,1
Segments,1
tech regulation,1
Natural environment,1
Simulation,1
Trace,1
Business models,1
Formal organization,1
Market positioning,1
R&D,1
Research & development,1
bunions,1
Consumer Health Information - methods,1
Consumer Health Information - standards,1
Index Medicus,1
Internet - standards,1
Search Engine,1
Engineering research,1
e-books,1
electronic books,1
google,1
google books,1
product review,1
algorithmic governance,1
climate change,1
geoengineering,1
Impending,1
Science Fiction & fantasy,1
space colonisation,1
Techno-optimism,1
Ventures,1
Critical analysis,1
Darfur,1
Google Earth,1
International conflicts,1
Mapping,1
Spatial analysis,1
Infrastructure,1
Language processing,1
Natural language interfaces,1
Security,1
Teams,1
"van Dijck, José",1
Audience Commodity,1
Internet Prosumer Commodification,1
Media and Communication Studies,1
Prosumer Commodity,1
Learning and Instruction,1
Legal Problems,1
Original Paper,1
