Title,Author,Keywords,Description,Permalink
Parasite or Partner? Coverage of Google News in an Era of News Aggregation,"Chyi, Hsiang Iris ; Lewis, Seth C. ; Zheng, Nan",aggregation ; Collaboration ; Content analysis ; facticity ; Google News ; Literature Reviews ; New York Times Co ; news coverage ; news sourcing ; Newspaper industry ; sociology of professions,"With online news aggregators outperforming most traditional media sites, some news executives have accused Google News of stealing their content, even as they rely on Google for exposure. Through a content analysis, this study examines how leading traditional news providers and trade publications, during the 2007-2010 financial shock for U.S. newspapers, covered the newspaper industry’s delicate relationship with Google. Results indicate that such coverage de-emphasized the non-advertising nature of Google News, ignored readers’ views, and used emotion-laden language (e.g., sensational accusations against Google of “stealing” newspaper content or being a “parasite”). Although Google was often portrayed as the enemy, most coverage suggested that newspapers should work with Google, pointing to the challenge of assessing Google’s role in an unfolding era of news aggregation.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_miscellaneous_1919455602
Order versus access: news search engines and the challenge to traditional journalistic roles,"Carlson, Matt",Access ; Google ; Journalistic authority ; New media,"This article examines tensions between new media forms and traditional journalistic practice through the rise of news search engines that index news stories from across the web. Specifically, Google News is taken up as a case study because of its popularity and its insistence on not using human editors. Conflicting normative articulations of journalism arise between traditional news and news search engines: the former promotes an interpretive order through purposefully structuring the news product to create a meaningful map of what is important, while the latter promotes diversity through creating easy access to different viewpoints and multiple versions of a story without legitimating one view over another. As a result, tensions form around questions of what journalism does and what it should do.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_miscellaneous_61698539
JASIST Special Issue Editorial: Re‐orienting search engine research in information science,"Lewandowski, Dirk ; Haider, Jutta ; Sundin, Olof","Computer Science, Information Systems ; Information Science & Library Science ; Information Studies ; Library and Information Science ; Media and Communications ; Science & Technology",*No Description*,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_swepub_primary_oai_lup_lub_lu_se_25e316ea_1436_474b_86a1_20d21b3efbbf
"Informing, implying or directing? Testing the effects of message sidedness, conclusiveness and their interaction in national and local Google Ads campaigns","Yao, Qingjiang",Conclusiveness ; Google ads advertising ; Keywords ; Search engine advertising ; Sidedness,"This study aims to apply and test the effectiveness of message sidedness and conclusiveness in Google Ads advertising.Design/methodology/approachFour field experiments on Google Ad campaigns were conducted on the topics of energy and environment, the water–energy–food nexus, and a Higher-Ed program (at the national and local levels).FindingsTwo-sided search engine advertisements are more effective than one-sided advertisements in national campaigns but less effective in local campaigns. In national campaigns, conclusive search engine advertisements are more effective in increasing impressions and clicks, but inconclusive advertisements are more effective in increasing the click-through rate (CTR); in local campaigns, inconclusive advertisements are more effective when being one-sided, while conclusive advertisements are more effective when being two-sided. Overall, the two-sided and inconclusive advertisement generates the best results in a national campaign, but the one-sided and inconclusive advertisement generates the best results in a local campaign.Originality/valueAs the first to test sidedness and conclusiveness with Google Ads advertising, the paper provides theoretical and practical suggestions to search engine marketers by identifying the effective copywriting strategies, moderating factors and more measurements of effectiveness.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2581658263
Information governance in digitized public administration,"Brown, David C. G. ; Toze, Sandra",Disclosure ; Governance ; Technology application,"As the public sector increasingly transforms itself and its processes through digital technologies, information—the prime resource—the governance of information, and the need for advanced information skills, have moved to centre stage. Information governance processes form a critical bridge between the legacy systems of the past and the agile and mobile platforms of the future. Describing the forces at play, which include new information formats, modes of transmission and uses but also new skills and governance requirements, this article proposes an information governance‐centred research agenda. Considering information governance through a holistic lens is essential to ensure that the new possibilities available through technology can be leveraged to transform government, while government information itself is preserved as the essential tool for current and future government decision‐making, as a critical service to the public, as public memory, and as the foundation for public sector accountability and transparency.
 Sommaire
 Alors que le secteur public et ses processus se transforment de plus en plus par le biais des technologies numériques, l'information – la première ressource – la gouvernance de l'information, et la nécessité d'avoir des compétences numériques de pointe sont parvenues au premier plan. Les processus d'information de la gouvernance constituent une passerelle cruciale entre les anciens systèmes et les plateformes agiles et mobiles de l'avenir. Cet article décrit les forces en jeu, qui comprennent des formats d'information, des modes de transmission et d'utilisation nouveaux, ainsi que de nouvelles compétences et exigences en matière de gouvernance; il propose un programme de recherche axé sur la gouvernance de l'information. Il est crucial d'aborder la gouvernance de l'information par une approche holistique afin d'assurer que les nouvelles possibilités offertes par la technologie puissent être mises à profit pour transformer le gouvernement, tandis que l'information gouvernementale est elle‐même préservée en tant qu'outil essentiel de prises de décision actuelles et futures, service fondamental au public, mémoire collective, et fondement pour l'imputabilité et la transparence du secteur public.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_wiley_primary_10_1111_capa_12227_CAPA12227
Inaccuracies in Low Income Housing Geocodes: When and Why They Matter,"Wilson, Nicole E. ; Hankinson, Michael ; Magazinnik, Asya ; Sands, Melissa",administrative data ; data audit ; geocoding ; Geographical coordinates ; Research applications ; Urban Studies,"Scholars across disciplines frequently employ data on housing developments subsidized by the National Low Income Housing Tax Credit (LIHTC). We find that the geographic coordinates for these developments, generated by the U.S. Department of Housing and Urban Development (HUD), are frequently inaccurate. Using both the population of data from California and a national sample, we find that HUD-provided geocodes are inaccurate nearly half the time while Google-generated geocodes are almost always more accurate. However, while Google’s geolocation is more likely to be accurate, when it is inaccurate, it deviates from the true location by a much greater distance than HUD. We therefore recommend that scholars use Google-generated geocodes for most research applications where the localized environment matters; however, in studies where observations are aggregated to a larger area, researchers may prefer to use HUD geocodes, which are more frequently inaccurate but typically by smaller distances.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2894687687
How the governance of and through digital contact tracing technologies shapes geographies of power,"Metzler, Ingrid ; Åm, Heidrun",Co-Production ; Constitutional Moments ; Covid-19 Pandemic ; Digital Contact Tracing (dct) ; Technological Governance ; Technology Policy,"In this article, we use the COVID-19 pandemic to study governance through digital technologies. We investigate ‘digital contact tracing’ (DCT) apps developed in Austria and Norway and find their emergence, contestation and stabilisation as moments in which norms and values
 are puzzled through, and distributions of power change. We show that debates on DCT apps involved disputes on ‘digital citizenship’, that is, on the scope and nature of data that authorities are allowed to collect from citizens. Remarkably, these disputes were settled through the
 enrolment of a framework developed jointly by Apple and Google. Software became akin to a constitution that enshrined understandings of good citizenship into technological design, while also being a means through which geographies of power materialised. This article contributes to literature
 on technological governance by showing how the rising salience of technologies in governance transform political geographies and, as a consequence, democratic lives.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_ingenta_journals_tpp_pap_2022_00000050_00000002_art00003
How data governance technologies can democratize data sharing for community well-being,"Wu, Dan ; Verhulst, Stefaan G. ; Pentland, Alex ; Avila, Thiago ; Finch, Kelsey ; Gupta, Abhishek",Data ; Data Governance Technologies ; Data Strategy ; Governance ; Innovations ; Trusts,"Abstract Data sharing efforts to allow underserved groups and organizations to overcome the concentration of power in our data landscape. A few special organizations, due to their data monopolies and resources, are able to decide which problems to solve and how to solve them. But even though data sharing creates a counterbalancing democratizing force, it must nevertheless be approached cautiously. Underserved organizations and groups must navigate difficult barriers related to technological complexity and legal risk. To examine what those common barriers are, one type of data sharing effort—data trusts—are examined, specifically the reports commenting on that effort. To address these practical issues, data governance technologies have a large role to play in democratizing data trusts safely and in a trustworthy manner. Yet technology is far from a silver bullet. It is dangerous to rely upon it. But technology that is no-code, flexible, and secure can help more responsibly operate data trusts. This type of technology helps innovators put relationships at the center of their efforts.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_crossref_primary_10_1017_dap_2021_13
Hate speech as protected conduct: Reworking the approach to offensive speech Under the NLRA,"Thelen, Carly","Balancing tests (Law) ; Employers ; First Amendment-US ; Government & Law ; Labor law ; Laws, regulations and rules ; Nazi groups ; Politics ; Wagner Act 1935-US ; Workplace diversity","Section 7 of the National Labor Relations Act (""NLRA"") protects employees who engage in concerted activities for purposes of mutual aid and protection. The National Labor Relations Board (""the Board"") enforces section 7 by protecting employee speech when the speech is related to concerted activity. The Board, using a broad interpretation of section 7, has extended protection to offensive speech, even hate speech. This Note argues that this broad interpretation of section 7 to protect hate speech is contrary to public policy and does not properly account for employers' interest in not being associated with employees who engage in hate speech. This Note further argues for a reworked approach to cases involving offensive speech. The reworked approach incorporates a categorization of the speech to determine the level of protection. This approach properly considers employers' interests while maintaining the NLRA's purpose-to prevent employer unfair labor practices.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2188134178
"Google, data voids, and the dynamics of the politics of exclusion","Norocel, Ov Cristian ; Lewandowski, Dirk","Critical data studies ; data void ; Information Systems, Social aspects ; International Migration and Ethnic Relations ; Media and Communications ; Other Social Sciences ; Political Science (excluding Public Administration Studies and Globalization Studies) ; politics of exclusion ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; User generated content ; Voids","This study deploys a critical approach to big data analytics to gauge the tentative contours of data voids in Google searches that reflect extreme-right dynamics of exclusion in the aftermath of the 2015 humanitarian crisis in Europe. The study adds complexity to the analysis of data voids, expanding the framework of investigation outside the USA context by concentrating on Germany and Sweden. Building on previous big data analytics addressing the politics of exclusion, the study proposes a catalogue of queries concerning the issue of migration in both Germany and Sweden on a continuum from mainstream to extreme-right vocabularies. This catalogue of queries enables specific and localized queries to identify data voids. The results show that a search engine's reliance on source popularity may lead to extreme-right sources appearing in top positions. Furthermore, using platforms for user-generated content provides a way for localized queries to gain top positions.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_crossref_primary_10_1177_20539517221149099
Google Search and the creation of ignorance: The case of the climate crisis,"Haider, Jutta ; Rödl, Malte",agnotology ; Climate change ; environmental communication ; Everyday life ; Ignorance ; Information Studies ; Library and Information Science ; Politics ; Social Sciences - Other Topics ; Social Sciences Interdisciplinary,"The article examines the relationship between commercial search engines, using Google Search as an example, and various forms of ignorance related to climate change. It draws on concepts from the field of agnotology to explore how environmental ignorances, and specifically related to the climate crisis, are shaped at the intersection of the logics of Google Search, everyday life and civil society/politics. Ignorance refers to a multi-facetted understanding of the culturally contingent ways in which something may not be known. Two research questions are addressed: How are environmental ignorances, and in particular related to the climate crisis, shaped at the intersection of the logics of Google Search, everyday life and civil society/politics? In what ways can we conceptualise Google's role as configured into the creation of ignorances? The argument is made through four vignettes, each of which explores and illustrates how Google Search is configured into a different kind of socially produced ignorance: (1) Ignorance through information avoidance: climate anxiety; (2) Ignorance through selective choice: gaming search terms; (3) Ignorance by design: algorithmically embodied emissions; (4) Ignorance through query suggestions: directing people to data voids. The article shows that while Google Search and its underlying algorithmic and commercial logic pre-figure these ignorances, they are also co-created and co-maintained by content producers, users and other human and non-human actors, as Google Search has become integral of social practices and ideas about them. The conclusion draws attention to a new logic of ignorance that is emerging in conjunction with a new knowledge logic.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_5c10b6e19c304b58b687a17b2c4d53be
Google critique: An application of depoliticization theory,"Hall, Brian R.",Depoliticization ; Discourse ; Google ; New technology ; Political judgment,"This paper is a critique of Google as a democratic technology. The purpose of this effort is to contribute to the discussion of Google's political and ethical essence by providing a case of applied discourse via a technology framework. The theory applied in this critique is depoliticization. The definitions of depoliticization, democracy, citizenship, and political judgment are given, along with a summary of the theory and credit to a protagonist in relation to emerging information and communication technologies. The argument is made that Google, as an object, means, and setting, is depoliticizing, thereby negatively affecting democracy.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_miscellaneous_1112142649
Fast Facts: Platforms From Personalization to Centralization,"Iliadis, Andrew ; Ford, Heather",Centralization ; Customization ; infrastructure ; knowledge graphs,"In recent years, there has been a noticeable shift in the economies of search and information retrieval concerning how the products of giant platform companies consolidate and represent facts directly in their search results. Concomitantly, media, communication, and information scholars have recently refocused on how media technology companies variably create, collect, connect, and commercialize data related to facts about the world and how such processes have implications for how we know the world. Such approaches often counter popular narratives that seek to frame the problems of platforms in terms of personalization and personalized content. While research on the personalization afforded by media is widespread, platforms also engage in the centralization of facts by merging web data representing factual claims and offering answers directly in search engines and virtual assistants’ results and responses (what we refer to as “fast facts”). These processes considerably affect how knowledge is constructed and shared in a networked society. This special issue collects empirical investigative research on the platformization, exploitation, and centralization of facts while offering a variety of perspectives from which to study these developments, including semantic and infrastructural techniques. This article provides an overview of this field and contextualizes recent media studies on search and information retrieval in broader debates around facts and truth claims.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_48f95240e94e427096eff454dcc188ec
European Search? How to counter-imagine and counteract hegemonic search with European search engine projects,"Mager, Astrid","alternative search engines ; Counter-imaginaries ; Developers ; European values ; Profit maximization ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; sociotechnical practices","This article investigates how developers of alternative search engines challenge increasingly corporate imaginaries of digital futures by building out counter-imaginaries of search engines devoted to social values instead of mere profit maximization. Drawing on three in-depth case studies of European search engines, it analyzes how search engine developers counter-imagine hegemonic search, what social values support their imaginaries, and how they are intertwined with their sociotechnical practices. This analysis shows that notions like privacy, independence, and openness appear to be fluid, context-dependent, and changing over time, leading to a certain “value pragmatics” that allows the projects to scale beyond their own communities of practice. It further shows how European values, and broader notions of Europe as “unified or pluralistic,” are constructed and co-produced with developers’ attempts to counter-imagine and counteract hegemonic search. To conclude, I suggest three points of intervention that may help alternative search engine projects, and digital technologies more generally, to not only make their counter-imaginaries more powerful, but also acquire the necessary resources to build their technologies and infrastructures accordingly. I finally discuss how “European values,” in all their richness and diversity, can contribute to this undertaking.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_sage_journals_10_1177_20539517231163173
ESL Learners' Processes and Perceptions of Using Google Docs in Collaborative Academic Writing,"Zainal, Azlin Zaiti ; Fan, Ma Fei",Analysis ; Collaborative Writing ; English (Second Language) ; English as a second language ; English Language Learners ; Student Attitudes ; Technology Uses in Education ; Writing Skills,"This study aims to investigate the processes of learners' collaborative writing using Google Docs and their perceptions of the collaborative process. Twenty-four undergraduate ESL learners undertaking an academic writing course participated in this study. They were tasked with a paired writing assignment as part of the coursework. Google Docs was used by each pair in revising their drafts before they submitted the final version of their academic essay. Adopting a mixed-methods approach, the qualitative phase involved conducting a textual analysis based on the drafts that the students prepared. The categories used to analyse the revisions were adapted from Kessler et al.'s (2012) analytical categories to understand the focus of learners' revisions. Students' responses to an online survey administered at the end of the course formed the quantitative data. The findings provide insights into the processes of collaborative online writing and students' perceived usefulness of Google Docs as a tool for collaboration.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_eric_primary_EJ1362815
